S_base,Mode_Equity_Mean,Mode_Equity_Std,Time_Equity_Mean,Time_Equity_Std,Efficiency_Mean,Efficiency_Std,Valid_Runs,Walk_Share_%,Walk_Share_Std,Bike_Share_%,Bike_Share_Std,Public_Share_%,Public_Share_Std,Car_Share_%,Car_Share_Std,Maas_Share_%,Maas_Share_Std
0.0000,1.2168,0.0400,9.4203,0.2698,3719.6667,42.1532,3,35.4827,8.6371,12.8431,9.7262,18.9593,0.9796,31.4329,6.7404,1.2821,1.8131
0.0200,1.4103,0.1312,11.2207,0.5732,3957.3333,116.2536,3,34.0000,4.3205,9.1111,10.6156,28.2222,11.4741,26.0000,4.3205,2.6667,1.8856
0.0500,1.4360,0.0979,10.3923,1.4565,3810.0000,107.9537,3,31.3218,4.4702,9.9138,2.3078,32.0402,4.1093,25.5747,1.4652,1.1494,1.6255
0.0800,1.3628,0.0644,9.7242,0.9713,3762.0000,127.2347,3,35.2273,5.7943,8.9646,3.8670,32.5758,6.5169,21.7172,9.9227,1.5152,2.1427
0.1000,1.2077,0.0592,9.5302,0.9558,3714.3333,57.7600,3,30.3623,6.8293,15.2319,7.0376,24.3623,7.0465,28.7101,11.9356,1.3333,1.8856
0.1500,1.3008,0.1442,9.9404,0.6506,3891.3333,128.8056,3,34.5798,4.8257,16.1325,2.7737,21.5812,3.5627,24.5726,7.3338,3.1339,2.3233
0.2000,1.3478,0.0271,9.8295,1.1604,3909.3333,131.2309,3,27.8813,4.7584,15.7561,4.5498,19.1128,1.7009,35.8006,2.5344,1.4493,2.0496
0.2500,1.2894,0.0387,8.8299,0.4859,3686.3333,53.5433,3,52.5000,9.3541,9.7222,7.2754,18.8333,4.7668,18.9444,2.1096,0.0000,0.0000
0.3000,1.4508,0.0532,9.6193,0.3956,3855.3333,91.3248,3,34.8348,2.1234,14.6901,3.6557,24.0759,2.3661,26.3991,5.0186,0.0000,0.0000
